Subj,Session,Video ,Restrained Primary Coder,Restrained Reliability Coder,Restrained Prop Agree,Restrained Kappa
8,1,1,Hanzhi 10/11/24,Hannah 10/14/24,0.9777,0.95
9,1,1,Hanzhi 10/21/24,Ryan Han 10/26/2024,0.9493,0.91
10,1,1,Hanzhi 10/21/24,sneha amin 10/28/24,0.9653,0.94
11,1,1,Hanzhi 10/21/24,sneha amin 10/30/24,0.9793,0.96
102,1,1,Hanzhi 10/11/24,Hannah 10/16/24,0.996,0.99
102,3,1,Hanzhi 10/23/24,sneha amin 10/31/24,0.9468,0.9
102,4,1,Hanzhi 10/28/24,sneha amin 10/31/24,0.8928,0.83
103,1,1,Hanzhi 10/28/24,sneha amin 11/05/24,0.9566,0.91
104,1,1,Hanzhi 10/28/24,Hannah 11/18/24,0.9846,0.97
105,1,1,Hanzhi 10/11/24,Hannah 10/16/24,0.9953,0.99
106,1,1,Hannah 10/21/24,Ryan Han 11/4/2024,0.999,1
107,1,1,Hannah 10/22/24,Ryan Han 11/4/2024,0.999,1
107,2,1,Hannah 10/22/24,Ryan Han 11/13/2024,0.9982,1
107,3,1,Hannah 10/24/24,Sofia Sanchez 11/1/2024,0.9792,0.95
107,4,1,Hanzhi 10/11/24,Hannah 10/16/24,0.9991,1
108,2,1,Hannah 10/28/24,Sofia Sanchez 11/1/2024,0.9853,0.97
109,1,1,Hannah 10/28/24,Sofia Sanchez 11/7/2024,0.9833,0.97
110,1,1,Hannah 10/29/24,sneha amin 11/7/24,0.9968,1
110,2,1,Hannah 10/29/24,sneha amin 11/12/24,0.9982,1
110,4,1,Hanzhi 10/11/24,Hannah 10/17/24,0.9377,0.85
111,2,1,Hannah 10/29/24,sneha amin 11/18/24,0.9886,0.98
111,3,1,Hannah 10/29/24,Hanzhi 11/04/24,0.995,0.99
111,4,1,Hannah 10/29/24,Hanzhi 11/04/24,0.986,0.98
112,2,1,Hanzhi 10/28/24,Hannah 11/04/24,0.9885,0.98
115,1,1,Hanzhi 10/28/24,Hannah 11/04/24,0.9945,0.99
116,1,1,Hanzhi 10/28/24,Hannah 11/04/24,0.9822,0.99
119,1,1,Hanzhi 10/28/24,Hannah 11/05/24,0.9947,0.99
120,1,1,Hanzhi 10/07/24,Hannah 10/10/24,0.9958,0.99
120,2,1,Hanzhi 11/01/24,Hannah 11/05/24,0.9939,0.98
120,4,1,Hanzhi 11/01/24,Hannah 11/12/24,0.9867,0.98
121,1,1,Hanzhi 10/07/24,Hannah 10/17/24,0.9834,0.96
123,1,1,Hanzhi 11/01/24,Hannah 11/12/24,0.9937,0.99
123,2,1,Hanzhi 11/01/24,Hannah 11/12/24,0.994,0.99
123,3,1,Hanzhi 11/04/24,Hannah 11/13/24,0.9988,1
123,4,1,Hanzhi 10/09/24,Hannah 10/10/24,0.9794,0.95
124,3,1,Sofia Sanchez 11/17/2024,Hannah 11/13/24,0.9843,0.97
124,4,1,Sofia Sanchez 11/17/2024,Hannah 11/18/24,0.989,0.98
125,1,1,Sofia Sanchez 11/18/2024,Hanzhi 12/07/24,0.9885,0.98
125,2,1,Ryan Han 11/13/2024,Hanzhi 11/08/24,0.9992,1
125,3,1,Ryan Han 11/18/2024,Hanzhi 11/08/24,0.9962,0.99
125,4,1,sneha amin 11/14/24,Hanzhi 11/08/24,0.9947,0.99
