id,overall_acc
8/1,0.9700374531835206
9/1,0.8489795918367347
10/1,0.8976377952755905
11/1,0.812
102/1,0.9963898916967509
102/3,0.9656488549618321
102/4,0.84
103/1,0.930921052631579
104/1,0.9032258064516129
105/1,1.0
106/1,0.7169230769230769
107/1,0.9276018099547512
107/2,0.9498069498069498
107/3,0.7464788732394366
107/4,0.9878048780487805
108/2,0.7662337662337663
109/1,0.99
110/1,0.7323076923076923
110/2,0.934375
110/4,0.9921259842519685
111/2,0.9583333333333334
111/3,1.0
111/4,0.8297872340425532
112/2,0.9037656903765691
115/1,0.9893617021276596
116/1,1.0
119/1,0.9902912621359223
120/1,0.9641434262948207
120/2,0.9515418502202643
120/4,0.8823529411764706
121/1,0.8451178451178452
123/1,0.6174496644295302
123/2,0.8427672955974843
123/3,0.9136363636363637
123/4,0.9384615384615385
124/3,1.0
124/4,0.9845360824742269
125/1,0.961864406779661
125/2,0.8607594936708861
125/3,0.8823529411764706
125/4,0.8156028368794326
128/1,0.9839357429718876
128/2,1.0
128/3,0.8720538720538721
128/4,0.8802816901408451
130/1,1.0
130/2,0.875
130/3,0.5901060070671378
130/4,0.7956204379562044
132/3,0.8392857142857143
132/4,0.8876404494382022
133/1,0.86
133/3,0.9887640449438202
134/1,0.9884169884169884
136/1,0.9710144927536232
136/2,0.9882352941176471
136/3,0.7934782608695652
136/4,0.9847328244274809
138/3,0.9754098360655737
138/4,0.9820359281437125
139/1,0.9863013698630136
139/2,1.0
139/3,0.9748201438848921
140/1,1.0
141/2,0.9908675799086758
141/3,0.9962546816479401
141/4,1.0
145/2,0.6093189964157706
145/3,0.5865384615384616
145/4,0.9172932330827067
148/1,0.8076923076923077
148/2,0.9026217228464419
148/3,0.6802721088435374
148/4,0.7676056338028169
149/1,0.9210526315789473
149/2,0.9357798165137615
149/4,0.8872180451127819
150/1,0.9461883408071748
150/3,0.9824561403508771
150/4,0.9709302325581395
151/1,0.8719211822660099
151/2,0.9845360824742269
151/3,1.0
151/4,1.0
153/1,0.9166666666666666
153/2,0.8617886178861789
153/3,0.9044117647058824
153/4,0.8360655737704918
155/1,0.9834710743801653
157/1,0.8346153846153846
159/1,0.8239700374531835
161/1,0.9532374100719424
161/2,0.875
161/3,0.8161764705882353
162/1,0.9770992366412213
162/2,0.9629629629629629
162/3,0.9962962962962963
162/4,0.8706293706293706
163/2,0.9770992366412213
163/3,0.9789473684210527
163/4,0.961038961038961
164/1,1.0
167/4,0.9389671361502347
168/4,0.9900332225913622
169/4,0.9598214285714286
170/4,0.9100719424460432
172/2,0.4689655172413793
172/3,0.9467680608365019
173/2,0.5653846153846154
173/3,0.8758620689655172
173/4,0.9831081081081081
174/1,0.54296875
174/2,0.9556650246305419
174/3,0.6666666666666666
174/4,0.9148148148148149
175/2,0.7813620071684588
175/3,0.8008298755186722
176/3,0.9744525547445255
177/3,0.782608695652174
177/4,0.734982332155477
178/3,0.7428571428571429
179/2,0.8188976377952756
179/3,0.9338235294117647
179/4,0.9342560553633218
180/2,0.9490909090909091
181/2,0.9490445859872612
181/3,0.967391304347826
182/3,0.9864406779661017
182/4,0.9651162790697675
183/2,0.26104417670682734
183/3,0.9205020920502092
184/2,0.9432624113475178
184/3,1.0
184/4,0.9692982456140351
185/3,0.8905472636815921
186/3,0.9202898550724637
188/3,0.9576923076923077
188/4,0.9722222222222222
189/2,1.0
