id,overall_acc,overall_sens,overall_spec,overall_posi_pred
10/1,0.899612027158099,0.13370473537604458,0.023961661341853034,0.23910336239103358
102/1,0.9709811146936895,0.04434589800443459,0.003667481662591687,0.06857142857142862
102/3,0.9547553093259464,0.12846347607052896,0.026568682871678916,0.02876480541455162
102/4,0.8355263157894737,0.0,0.16556291390728478,0.0
103/1,0.7923763179237632,0.22042285200179937,0.09053497942386832,0.6891701828410689
105/1,0.9910846953937593,0.00796812749003984,0.009478672985781991,0.004761904761904745
106/1,0.636078431372549,0.377710843373494,0.3382022471910112,0.515625
107/1,0.9321345707656613,0.11501597444089456,0.011464968152866241,0.12217194570135748
107/2,0.9373516848599905,0.2887700534759358,0.013848817080207732,0.059438635112823324
107/3,0.7457255589653661,0.43556895252449135,0.0020964360587002098,0.37777777777777777
107/4,0.9871350816427511,0.012658227848101266,0.012977099236641221,0.00691244239631339
108/2,0.7564807541241163,0.5506216696269982,0.0,0.303921568627451
109/1,0.987045033929673,0.034482758620689655,0.007680491551459293,0.008442056792018371
11/1,0.849146110056926,0.2964388835418672,0.009354536950420954,0.2253108997805413
110/1,0.635205097570689,0.41081081081081083,0.013745704467353952,0.7606338615512928
110/2,0.7616538305634374,0.2865525672371638,0.004739336492890996,0.5825049701789264
110/4,0.9669504256384577,0.07233065442020666,0.0026642984014209592,0.05311973018549743
111/2,0.9408,0.11637931034482758,0.04616895874263261,0.027054108216432837
111/3,0.9841860465116279,0.02631578947368421,0.014568158168574402,0.0031578947368421373
111/4,0.8637083993660856,0.14977477477477477,0.10427807486631016,0.2841880341880342
112/2,0.8829479768786127,0.21017699115044247,0.09113300492610837,0.06047103755569705
115/1,0.9786163522012579,0.05084745762711865,0.008944543828264758,0.021201413427561877
116/1,0.9458689458689459,0.07723577235772358,0.0,0.15322580645161288
119/1,0.9900881057268722,0.02046783625730994,0.0035335689045936395,0.012259194395796813
120/1,0.9493278179937953,0.31877729257641924,0.01466275659824047,0.04164289788933262
120/2,0.9200652528548124,0.4026548672566372,0.0347179169249845,0.05521844660194175
120/4,0.8612099644128114,0.09004739336492891,0.15005476451259583,0.023899371069182385
121/1,0.8414115646258503,0.5303030303030303,0.013593380614657211,0.17335314512134725
123/1,0.3707865168539326,0.7297297297297297,0.22844827586206898,0.7903981264637002
123/2,0.896875,0.17210682492581603,0.026402640264026403,0.1643059490084986
123/3,0.8517241379310345,0.21723834652594548,0.01824212271973466,0.2943980929678188
123/4,0.9153543307086615,0.09455587392550144,0.06289308176100629,0.18131868131868134
124/3,0.9949494949494949,0.0,0.00966183574879227,0.0
124/4,0.9488163787587972,0.014563106796116505,0.056742815033161385,0.002338269680436489
125/1,0.967869500741473,0.004310344827586207,0.04672192916352675,0.0023659305993690705
125/2,0.8639491794600318,0.22254901960784312,0.03452243958573072,0.2129455909943715
125/3,0.890295358649789,0.13278008298755187,0.09787234042553192,0.07017543859649122
125/4,0.970806100217865,0.03591790193842646,0.0073937153419593345,0.10499999999999998
128/1,0.9702878365831012,0.022770398481973434,0.03196066379840197,0.007561436672967825
128/2,0.9826797385620915,0.012409513960703205,0.019589106545628284,0.005813953488372103
128/3,0.8815844922039612,0.008394543546694649,0.19225352112676056,0.006926406926406892
128/4,0.8727668845315905,0.4008559201141227,0.006900878293601004,0.15075107296137336
130/1,0.9609756097560975,0.08984375,0.002785515320334262,0.06036745406824151
130/2,0.5654205607476636,0.4816211121583412,0.004310344827586207,0.8156424581005587
130/3,0.5879049676025918,0.7254752851711027,0.0,0.4882292732855681
130/4,0.7880386983289358,0.3017799352750809,0.10500963391136801,0.28648233486943164
132/3,0.8772727272727273,0.12272727272727273,NaN,1.0
132/4,0.8543417366946778,0.33797909407665505,0.01639344262295082,0.1876208897485493
133/1,0.8837749883774988,0.2601456815816857,0.0,0.17361111111111116
133/3,0.9519572953736655,0.08150851581508516,0.016203703703703703,0.0730643402399127
134/1,0.9951667472208796,0.0,0.010121457489878543,0.0
136/1,0.9130832570905764,0.11894273127753303,0.0016750418760469012,0.24076433121019103
136/2,0.9462672372800761,0.07578558225508318,0.030362389813907934,0.07649253731343286
136/3,0.7698339483394834,0.4757804090419806,0.04600484261501211,0.2721674876847291
136/4,0.9903288201160542,0.0057306590257879654,0.013712047012732615,0.005923000987166804
138/3,0.9371833839918946,0.08208955223880597,0.055632823365785816,0.031383737517831634
138/4,0.9695619896065331,0.10178117048346055,0.0010482180293501049,0.040281973816717054
139/1,0.9801517805020432,0.023952095808383235,0.01722488038277512,0.015340364333652934
139/2,0.9904686258935663,0.005919854280510018,0.034161490683229816,0.04012345679012341
139/3,0.939647577092511,0.04691689008042895,0.06692913385826772,0.024021962937542884
140/1,1.0,0.0,0.0,0.0
141/2,0.9890741805635422,0.025179856115107913,0.008213552361396304,0.004807692307692291
141/3,0.9921989273525109,0.015306122448979591,0.004784688995215311,0.006143344709897636
141/4,0.9882988298829883,0.030013642564802184,0.002686366689053056,0.014598540145985384
145/2,0.6248275862068966,0.7553688141923436,0.006340579710144928,0.4244491080797481
145/3,0.6218136230672796,0.24170616113744076,0.4074074074074074,0.08031496062992127
145/4,0.9136760426770126,0.2505353319057816,0.03824451410658307,0.07086614173228345
148/1,0.865072202166065,0.5995575221238938,0.015873015873015872,0.13502740408570002
148/2,0.899856938483548,0.3404255319148936,0.0628099173553719,0.05342237061769617
148/3,0.618409680207433,0.5786476868327403,0.07700770077007701,0.49213075060532685
148/4,0.8134057971014492,0.2807825086306099,0.12546676624346528,0.17243816254416966
149/1,0.865010073875084,0.2381516587677725,0.0,0.23758865248226946
149/2,0.8652073732718893,0.14558823529411766,0.09574468085106383,0.36802973977695164
149/3,0.8534858387799564,0.09220389805097451,0.2908366533864542,0.25678496868475986
149/4,0.8514986376021798,0.2564935064935065,0.01134020618556701,0.24784313725490192
150/1,0.9222851260936696,0.23510466988727857,0.0037821482602118004,0.0997949419002051
150/3,0.9616797900262467,0.04317958783120707,0.0327313769751693,0.04883462819089901
150/4,0.9367245657568238,0.07444168734491315,0.05955334987593052,0.02570694087403602
151/1,0.8894675925925926,0.18813314037626627,0.058823529411764705,0.11754068716094035
151/2,0.9632627646326276,0.10104529616724739,0.022744503411675512,0.02200303490136568
151/3,0.9808743169398907,0.0,0.029850746268656716,0.0
151/4,0.9862385321100917,0.031818181818181815,0.004608294930875576,0.015945330296127547
153/1,0.9103092783505154,0.1806930693069307,0.024734982332155476,0.11680000000000001
153/2,0.7636186770428015,0.3422818791946309,0.1549053356282272,0.23757763975155277
153/3,0.8679498657117278,0.23076923076923078,0.03765323992994746,0.18652849740932642
153/4,0.7774022211492033,0.13456169737576773,0.7857142857142857,0.8006644518272426
155/1,0.9793307086614174,0.055762081784386616,0.008032128514056224,0.019841269841269882
157/1,0.788235294117647,0.1710843373493976,0.35698924731182796,0.4871355060034306
159/1,0.8718778908418131,0.14848762603116408,0.10737628384687208,0.14490161001788904
161/1,0.9595868881903906,0.017377567140600316,0.04956085319949812,0.007208387942332917
161/2,0.9067632850241546,0.13532513181019332,0.04184549356223176,0.14708691499522442
161/3,0.7166138524219103,0.3337722185648453,0.17246376811594202,0.4703153988868275
162/1,0.9476415094339623,0.06631299734748011,0.04934021801491681,0.014863258026159287
162/2,0.929761368752814,0.16304347826086957,0.004611837048424289,0.10380622837370246
162/3,0.9651324965132496,0.14038876889848811,0.005924170616113744,0.03729202524383246
